user,time,text,photo
Dplankton,2025-08-24T11:23:15.000Z,"Bener jaman presiden Abdurahman Wahid,.
#BubarkanDPR",https://pbs.twimg.com/profile_images/1714604225513291777/xSSXUJTM_normal.jpg
Answerts,2025-08-24T11:16:36.000Z,"Bubarkan DPR, DPR bikin susah rakyat!!!
#BubarkanDPR
#BubarkanDPRSontoloyo",https://pbs.twimg.com/profile_images/1525807213637357568/2YJRqB-w_normal.jpg
A-Bhenk(Anak Bhengkhel),2025-08-24T11:14:11.000Z,Gile g malu lu parah lu #BubarkanDPR,https://pbs.twimg.com/profile_images/1346839371605889026/x8q4WEyU_normal.jpg
m_azis,2025-08-24T11:11:37.000Z,Ayo gaungkan.. #BubarkanDPR,https://pbs.twimg.com/profile_images/2704210781/6b5c2b3e3b859549c54addb36b33305e_normal.jpeg
Hay_4t1,2025-08-24T11:06:06.000Z,#BubarkanDPR https://x.com/gilang_ahm3127/gilang_ahm31272/status/1959396890732359824…,https://pbs.twimg.com/profile_images/1843870171934666754/6vJ91cil_normal.jpg
Gus Haddock,2025-08-24T11:04:15.000Z,#DareYouToDeath #NuNew #BubarkanDPR #IndonesiaKorbanJokowi #SriMulyono10th,https://pbs.twimg.com/profile_images/1314494412605411329/pw3IDEtN_normal.jpg
Awikuchuz  ,2025-08-24T11:00:40.000Z,"Jangan khawatir, ketua 
@DPR_RI
 
@puanmaharani_ri
 akan membuka pintu lebar lebar.
#BubarkanDPRSontoloyo 
#BubarkanDPR",https://pbs.twimg.com/profile_images/1951122084652003328/Ay5lurFW_normal.jpg
𝐂𝐨𝐦𝐛𝐞𝐓,2025-08-24T11:00:16.000Z,"Gerombolan binatang
#BubarkanDPR 
#BubarkanDPR",https://pbs.twimg.com/profile_images/1891463803608727552/_IiPvF29_normal.jpg
🄿🄴🅁🄹🅄🄰🄽🄶🄰🄽 🄺🄰🅃🄰,2025-08-24T10:59:29.000Z,"Para anggota DPR itu sbnrnya menurut sy hanya mencari penghidupan di DPR. Tdk ada jiwa integritas, nasionalis dan pembelaan thdp rakyat. Mrk mewakili perut mrk dan keluarganya sendiri. 
#BubarkanDPR #BubarkanDPRSontoloyo 
#bubarkandprri",https://pbs.twimg.com/profile_images/1894573906234679296/Q2MlFfQB_normal.jpg
firman_uciha84,2025-08-24T10:56:06.000Z,"#BubarkanDPR 
#BubarkanDPR 
Dewan Penipu Rakyat",https://pbs.twimg.com/profile_images/1958551270341402624/tJedXd6u_normal.jpg
Ombahku,2025-08-24T10:55:38.000Z,"Anda ngomong soal adat istiadat, etika, dan budaya bangsa. Tapi di sisi lain, dengan enteng menyebut pihak-pihak yang meminta #BubarkanDPR sebagai orang-orang dengan mental tolol.

Bukankah ini kontradiksi? Dalam adat istiadat Nusantara, rakyat selalu ditempatkan sebagai “tuan”,",https://pbs.twimg.com/profile_images/1829833972316340224/xrCckglV_normal.jpg
Free Palestine ,2025-08-24T10:53:16.000Z,"@DPR_RI
 ngga malu kah kalian?.. Rakyat saat ini maunya #BubarkanDPR",https://pbs.twimg.com/profile_images/1729880205593083904/GBIhDkQF_normal.jpg
مسلم Muslim_AntiPKI9,2025-08-24T10:48:50.000Z,"Nih...
ALASAN KENAPA DPR HARUS DIBUBARKAN

#BubarkanDPR 
#BubarkanDPR",https://pbs.twimg.com/profile_images/1604094032669331457/OFDGcje__normal.jpg
Chu Lun,2025-08-24T10:48:45.000Z,"Geram campur emosi level dewa jika membayangkan ""uang pajak rakyat"" dipakai untuk bayar orang² tak berguna. #BubarkanDPRSontoloyo #BubarkanDPR",https://pbs.twimg.com/profile_images/1894057248529547264/bGzEqvTD_normal.jpg
Qolbi Fauzie,2025-08-24T10:42:39.000Z,"Berjogetlah...
Ku Ajak Kau Bertemu Tuhan
Punguti Dosa tuk Kita Jadikan Hiasan
Berjogetlah Berjogetlah Semaunya
#summersonicbkk2025 #Indonesia #BubarkanDPR #lovefighters #SriMulyono10th",https://pbs.twimg.com/profile_images/785748261374046209/U6R-wc8E_normal.jpg
Warung #kopitempait,2025-08-24T10:41:12.000Z,Kenapa rakyat ingin DPR bubar? Karena banyak Anggota DPR tidak punya adab sama sekali! Seperti kader nasdem ini! #BubarkanDPR,https://pbs.twimg.com/profile_images/687293242803499008/PegHkDbz_normal.jpg
Cυɯιʅαɳ Sҽɳɠ,2025-08-24T10:40:58.000Z,Kampret emang DPR dewan penyusah rakyat! #BubarkanDPR termul termul i78 ganyampai ginian!,https://pbs.twimg.com/profile_images/1869327578307473408/ASSN4o6t_normal.jpg
